*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=K130
*Date=17:11:29
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
211;;300 mil [THT];327.481;-110.645;180;Bottom;D123
212;;300 mil [THT];130.007;-114.091;180;Bottom;D110
213;;;98.8689;-18.5914;0;Bottom;MX121
214;;300 mil [THT];477.588;-66.5834;180;Bottom;D39
215;;300 mil [THT];60.7454;-28.4834;180;Bottom;D13
216;;;198.747;-37.6295;0;Bottom;MX114
217;;;170.318;-11.9028;0;Bottom;Hole9
218;;;160.647;-37.6295;0;Bottom;MX108
219;;;33.2522;-37.6501;0;Bottom;MX30
220;;;458.571;-131.871;0;Bottom;MX22
221;;300 mil [THT];179.702;-47.5334;180;Bottom;D58
222;;;289.369;-18.5914;0;Bottom;MX129
223;;;279.773;-75.7296;0;Bottom;MX85
224;;;274.976;-37.6295;0;Bottom;MX111
225;;300 mil [THT];289.345;-28.4834;180;Bottom;D22
226;;;208.343;-56.6795;0;Bottom;MX93
227;;;320.259;-37.6295;0;Bottom;MX109
228;;;395.328;-112.021;0;Bottom;Hole3
229;;300 mil [THT];420.508;-28.4834;180;Bottom;D29
230;;300 mil [THT];351.223;-110.328;180;Bottom;D99
231;;300 mil [THT];98.8454;-28.4834;180;Bottom;D15
232;;;165.445;-75.7296;0;Bottom;MX78
233;;300 mil [THT];435.819;-114.208;180;Bottom;D49
234;;;477.621;-28.154;0;Bottom;MX52
235;;300 mil [THT];373.942;-85.6334;180;Bottom;D95
236;;300 mil [THT];114.203;-114.279;180;Bottom;D109
237;;300 mil [THT];14.1834;-28.2576;180;Bottom;D11
238;;300 mil [THT];33.2617;-85.6616;180;Bottom;D2
239;;300 mil [THT];84.4521;-47.5334;180;Bottom;D53
240;;;447.884;-66.5834;0;Bottom;Via7
241;;;136.969;-94.7915;0;Bottom;MX63
242;;;113.121;-56.6795;0;Bottom;MX100
243;;300 mil [THT];323.777;-114.491;180;Bottom;D119
244;;300 mil [THT];477.588;-85.6334;180;Bottom;D43
245;;300 mil [THT];141.673;-28.4834;180;Bottom;D17
246;;300 mil [THT];261.793;-110.575;180;Bottom;D121
247;;;222.623;-18.5914;0;Bottom;MX131
248;;;439.521;-75.7555;0;Bottom;MX51
249;;;260.723;-75.7296;0;Bottom;MX89
250;;;289.322;-131.871;0;Bottom;MX15
251;;;151.193;-56.6795;0;Bottom;MX97
252;;300 mil [THT];420.602;-110.61;180;Bottom;D44
253;;300 mil [THT];200.657;-110.516;180;Bottom;D127
254;;;60.7689;-131.871;0;Bottom;MX4
255;;300 mil [THT];370.273;-114.091;180;Bottom;D101
256;;;465.805;-66.5834;0;Bottom;Via6
257;;;194.091;-94.7914;0;Bottom;MX71
258;;;79.8189;-18.5914;0;Bottom;MX120
259;;300 mil [THT];351.176;-114.091;180;Bottom;D100
260;;;33.2522;-56.6908;0;Bottom;MX29
261;;300 mil [THT];143.366;-110.422;180;Bottom;D124
262;;;207.713;-142.501;0;Bottom;Hole15
263;;;14.2022;-56.699;0;Bottom;MX28
264;;;23.7037;-66.3952;0;Bottom;Via1
265;;;458.571;-75.7555;0;Bottom;MX50
266;;;308.419;-94.7914;0;Bottom;MX74
267;;;60.7689;-18.5914;0;Bottom;MX127
268;;300 mil [THT];354.892;-85.6334;180;Bottom;D94
269;;;420.493;-56.7055;0;Bottom;MX59
270;;;96.5797;-111.992;0;Bottom;Hole2
271;;300 mil [THT];29.8751;-114.166;180;Bottom;D6
272;;300 mil [THT];260.77;-85.6334;180;Bottom;D90
273;;;14.2022;-75.749;0;Bottom;MX27
274;;300 mil [THT];14.1834;-110.102;180;Bottom;D3
275;;300 mil [THT];222.6;-28.4834;180;Bottom;D19
276;;300 mil [THT];439.582;-110.61;180;Bottom;D45
277;;300 mil [THT];79.7719;-110.234;180;Bottom;D105
278;;300 mil [THT];270.295;-28.4834;180;Bottom;D21
279;;;265.521;-56.6795;0;Bottom;MX103
280;;;132.171;-56.6795;0;Bottom;MX104
281;;;141.597;-37.6295;0;Bottom;MX118
282;;300 mil [THT];274.952;-47.5334;180;Bottom;D63
283;;;308.42;-18.5914;0;Bottom;MX125
284;;300 mil [THT];255.902;-47.5334;180;Bottom;D62
